image_index;index;phi1;Phi;phi2;slip_sys_no;slip_name;devang;point1_x;point1_y;point2_y;point2_y
1.1_1;1;68.2279748546365;149.964433693178;42.9648617478269;2;100;2.70072418353212;83.5;343.5;125.5;357.5
1.1_1;1;68.2279748546365;149.964433693178;42.9648617478269;4;112;3.7397308522053;83.5;343.5;125.5;357.5
1.1_1;1;68.2279748546365;149.964433693178;42.9648617478269;5;115;3.57345201813762;83.5;343.5;125.5;357.5
1.1_1;2;68.2279748546365;149.964433693178;42.9648617478269;4;112;1.86084087999066;126.5;363.5;156.5;406.5
1.1_1;3;68.2279748546365;149.964433693178;42.9648617478269;3;110;4.0227474682911;173.5;471.5;155.5;598.5
1.1_1;3;68.2279748546365;149.964433693178;42.9648617478269;4;112;0.937686912106777;173.5;471.5;155.5;598.5
1.1_1;3;68.2279748546365;149.964433693178;42.9648617478269;5;115;0.0472685454113138;173.5;471.5;155.5;598.5
1.1_1;4;68.2279748546365;149.964433693178;42.9648617478269;3;110;1.0554701948341;221.5;498.5;182.5;698.5
1.1_1;4;68.2279748546365;149.964433693178;42.9648617478269;4;112;2.02959036135078;221.5;498.5;182.5;698.5
1.1_1;4;68.2279748546365;149.964433693178;42.9648617478269;5;115;2.9200087280389;221.5;498.5;182.5;698.5
1.1_1;5;68.2279748546365;149.964433693178;42.9648617478269;4;112;4.15152225490721;296.5;550.5;278.5;762.5
1.1_1;5;68.2279748546365;149.964433693178;42.9648617478269;5;115;3.26110388821881;296.5;550.5;278.5;762.5
1.1_1;6;68.2279748546365;149.964433693178;42.9648617478269;4;112;1.61222729590547;282.5;764.5;424.5;797.5
1.1_1;6;68.2279748546365;149.964433693178;42.9648617478269;5;115;1.77850612997304;282.5;764.5;424.5;797.5
1.1_1;7;68.2279748546365;149.964433693178;42.9648617478269;4;112;2.9942724693171;426.5;795.5;476.5;799.5
1.1_1;7;68.2279748546365;149.964433693178;42.9648617478269;5;115;0.298811059979939;426.5;795.5;476.5;799.5
1.1_1;8;68.2279748546365;149.964433693178;42.9648617478269;1;111;1.53568581679872;485.5;807.5;527.5;774.5
1.1_1;9;68.2279748546365;149.964433693178;42.9648617478269;1;111;4.58186329677292;501.5;826.5;541.5;787.5
