folder;file;point1_x;point1_y;point2_x;point2_y
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;449.5;667.5;441.5;705.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;441.5;694.5;443.5;705.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;485.5;734.5;587.5;759.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;828.5;574.5;819.5;610.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;787.5;608.5;821.5;601.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;801.5;607.5;807.5;602.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;820.5;589.5;826.5;582.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;831.5;577.5;836.5;573.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;793.5;629.5;825.5;680.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;810.5;377.5;909.5;463.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;900.5;492.5;850.5;573.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;855.5;672.5;923.5;625.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.4_4;974.5;553.5;939.5;621.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;299.5;515.5;303.5;595.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;322.5;608.5;347.5;655.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;335.5;653.5;367.5;656.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;314.5;608.5;330.5;615.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;827.5;669.5;771.5;773.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;710.5;785.5;778.5;768.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;825.5;547.5;805.5;587.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;773.5;588.5;809.5;582.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;776.5;461.5;832.5;499.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;823.5;492.5;794.5;522.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;826.5;593.5;859.5;561.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;858.5;71.5;848.5;82.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;855.5;71.5;852.5;83.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;851.5;77.5;856.5;76.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;860.5;557.5;886.5;532.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;1.5_5;881.5;463.5;893.5;538.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.1_6;277.5;500.5;248.5;688.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.1_6;375.5;570.5;379.5;674.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.1_6;375.5;671.5;453.5;690.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.1_6;381.5;630.5;447.5;642.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.1_6;449.5;758.5;645.5;786.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.1_6;925.5;67.5;912.5;81.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.1_6;920.5;69.5;917.5;81.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.1_6;918.5;72.5;923.5;71.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;342.5;503.5;334.5;590.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;446.5;581.5;472.5;670.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;464.5;649.5;493.5;676.5
